City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
227,Grand Gaube,MU,2022-02-06 12:37:23,-20.0064,57.6608,84.6,77,80,8.99
228,Maine-Soroa,NE,2022-02-06 12:37:24,13.2114,12.0241,82.4,13,0,16.49
229,Verkhnevilyuysk,RU,2022-02-06 12:37:24,63.4453,120.3167,-8.07,99,99,4.38
230,Traiguen,CL,2022-02-06 12:37:25,-38.25,-72.6833,64.65,44,5,4.56
231,Ponta Delgada,PT,2022-02-06 12:38:25,37.7333,-25.6667,66.51,82,20,16.11
232,Sabang,ID,2022-02-06 12:38:26,5.8933,95.3214,81.79,75,100,11.97
233,Gambiran,ID,2022-02-06 12:38:26,-6.7988,111.4951,77.92,87,100,8.1
234,Yellowknife,CA,2022-02-06 12:38:27,62.456,-114.3525,-15.59,86,0,9.22
235,Kerrville,US,2022-02-06 12:38:27,30.0474,-99.1403,30.94,84,0,0.0
236,Clyde River,CA,2022-02-06 12:38:28,70.4692,-68.5914,-34.37,67,0,4.61
237,Agadir,MA,2022-02-06 12:38:28,30.4202,-9.5982,81.05,37,40,4.81
238,Lebu,CL,2022-02-06 12:38:29,-37.6167,-73.65,63.55,62,0,12.71
239,Kholodnyy,RU,2022-02-06 12:38:29,62.7167,147.95,-27.9,78,9,1.32
240,Todos Santos,MX,2022-02-06 12:38:29,23.45,-110.2167,64.0,79,25,6.35
241,Pokrovskoye,RU,2022-02-06 12:38:30,47.4157,38.8971,29.8,81,100,13.4
242,Usakos,NA,2022-02-06 12:38:30,-22.0,15.6,82.83,49,100,7.76
243,Namibe,AO,2022-02-06 12:38:31,-15.1961,12.1522,79.43,65,40,17.27
244,Ilulissat,GL,2022-02-06 12:38:31,69.2167,-51.1,1.42,39,100,14.97
245,Vila,PT,2022-02-06 12:38:32,42.0304,-8.1588,48.33,46,37,5.17
246,Davila,PH,2022-02-06 12:38:32,18.4726,120.5763,76.98,79,15,13.58
247,Husavik,IS,2022-02-06 12:38:33,66.0449,-17.3389,26.51,79,100,18.41
248,Raudeberg,NO,2022-02-06 12:38:33,61.9875,5.1352,36.86,91,100,8.01
249,Altagracia De Orituco,VE,2022-02-06 12:38:34,9.8601,-66.3814,77.76,66,58,4.7
250,Dobrinka,RU,2022-02-06 12:38:35,52.1653,40.4731,25.92,95,96,7.38
251,Khandyga,RU,2022-02-06 12:38:35,62.6667,135.6,-37.52,99,100,2.53
252,Nemea,GR,2022-02-06 12:38:35,37.8167,22.6667,60.04,68,99,3.62
253,Puerto Cabezas,NI,2022-02-06 12:38:36,14.0351,-83.3888,71.56,94,75,0.0
254,Santo Augusto,BR,2022-02-06 12:38:36,-27.8508,-53.7772,65.66,59,0,9.6
255,Doha,QA,2022-02-06 12:35:20,25.2867,51.5333,70.11,40,0,17.27
256,Basoko,CD,2022-02-06 12:38:37,1.2391,23.616,96.64,26,36,1.28
257,Matara,LK,2022-02-06 12:38:37,5.9485,80.5353,78.51,76,46,1.59
